"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-1500.00","144.00","-1644.00","34","7","27","20.59","79.41","0","0.00","0","",""
"CLV5","280.00","24.00","256.00","6","5","1","83.33","16.67","0","0.00","0","",""
"20250821","93858888","S","2025-08-21 12:16:21","6375.25","93864732","B","2025-08-21 12:17:12","6376.75","51.725823","1","-75.00","4.00","-79.00",""
"20250821","93856710","S","2025-08-21 10:35:41","6406.50","93856718","B","2025-08-21 10:36:14","6407.00","32.653549","1","-25.00","4.00","-29.00",""
"20250821","93856705","S","2025-08-21 10:35:41","6406.50","93856716","B","2025-08-21 10:36:14","6407.00","32.653590","1","-25.00","4.00","-29.00",""
"20250821","93856667","S","2025-08-21 10:34:48","6405.25","93856681","B","2025-08-21 10:36:14","6407.00","85.894165","1","-87.50","4.00","-91.50",""
"20250821","93856666","S","2025-08-21 10:34:47","6405.25","93856680","B","2025-08-21 10:36:14","6407.00","86.525515","1","-87.50","4.00","-91.50",""
"20250821","93856111","S","2025-08-21 10:30:04","6399.75","93856208","B","2025-08-21 10:30:53","6401.25","48.409159","1","-75.00","4.00","-79.00",""
"20250821","93856109","S","2025-08-21 10:30:04","6400.25","93856208","B","2025-08-21 10:30:53","6401.25","48.934482","1","-50.00","4.00","-54.00",""
"20250821","93856105","S","2025-08-21 10:30:01","6400.00","93856208","B","2025-08-21 10:30:53","6401.25","51.997236","1","-62.50","4.00","-66.50",""
"20250821","93848791","B","2025-08-21 10:12:41","6392.25","93848779","S","2025-08-21 10:12:45","6391.25","3.086286","1","-50.00","4.00","-54.00",""
"20250821","93848801","B","2025-08-21 10:12:39","6392.50","93848777","S","2025-08-21 10:12:45","6391.25","5.158717","1","-62.50","4.00","-66.50",""
"20250821","93848794","B","2025-08-21 10:12:39","6392.75","93848776","S","2025-08-21 10:12:45","6391.25","5.189356","1","-75.00","4.00","-79.00",""
"20250821","93844645","S","2025-08-21 09:17:33","6406.00","93844660","B","2025-08-21 09:17:37","6410.00","3.543305","1","-200.00","4.00","-204.00",""
"20250821","93844644","S","2025-08-21 09:17:32","6406.00","93844653","B","2025-08-21 09:17:36","6409.50","4.051526","1","-175.00","4.00","-179.00",""
"GCZ5","-70.00","12.00","-82.00","3","1","2","33.33","66.67","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250821","93856067","B","2025-08-21 10:29:44","3388.0","93856078","S","2025-08-21 10:29:48","3387.7","3.563327","1","-30.00","4.00","-34.00",""
"20250821","93844995","B","2025-08-21 09:20:02","3387.7","93845005","S","2025-08-21 09:20:07","3387.1","5.151816","1","-60.00","4.00","-64.00",""
"20250821","93833723","B","2025-08-21 08:00:52","3385.7","93833732","S","2025-08-21 08:01:27","3385.9","34.902321","1","20.00","4.00","16.00",""
"HEV5","-10.00","4.00","-14.00","1","0","1","0.00","100.00","0","0.00","0","",""
"NGV25","-50.00","12.00","-62.00","3","0","3","0.00","100.00","0","0.00","0","",""


