"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","1995.00","332.00","1663.00","63","31","32","49.21","50.79","0","0.00","0","",""
"CLV5","400.00","52.00","348.00","9","5","4","55.56","44.44","0","0.00","0","",""
"20250904","94426853","S","2025-09-03 18:26:24","3612.3","94426871","B","2025-09-03 18:28:26","3612.8","121.892492","1","-50.00","4.00","-54.00",""
"20250904","94426852","S","2025-09-03 18:26:00","3612.8","94426865","B","2025-09-03 18:28:19","3611.3","139.593612","1","150.00","4.00","146.00",""
"20250904","94426849","B","2025-09-03 18:25:48","3613.2","94426850","S","2025-09-03 18:25:50","3613.0","1.782394","1","-20.00","4.00","-24.00",""
"20250904","94426827","S","2025-09-03 18:21:14","3615.2","94426832","B","2025-09-03 18:22:05","3614.3","50.589373","1","90.00","4.00","86.00",""
"20250904","94426818","S","2025-09-03 18:19:58","3613.7","94426823","B","2025-09-03 18:20:47","3614.1","49.308741","1","-40.00","4.00","-44.00",""
"20250904","94426816","S","2025-09-03 18:19:44","3613.9","94426823","B","2025-09-03 18:20:47","3614.1","63.687585","1","-20.00","4.00","-24.00",""
"20250904","94426815","S","2025-09-03 18:19:42","3613.7","94426823","B","2025-09-03 18:20:47","3614.1","64.933973","1","-40.00","4.00","-44.00",""
"20250904","94426814","S","2025-09-03 18:19:42","3613.7","94426823","B","2025-09-03 18:20:47","3614.1","65.403028","1","-40.00","4.00","-44.00",""
"20250904","94426801","B","2025-09-03 18:18:03","3611.7","94426813","S","2025-09-03 18:19:41","3613.7","98.406763","1","200.00","4.00","196.00",""
"20250904","94426801","B","2025-09-03 18:18:03","3611.7","94426811","S","2025-09-03 18:19:18","3613.8","75.488810","1","210.00","4.00","206.00",""
"20250904","94426800","B","2025-09-03 18:17:59","3611.4","94426805","S","2025-09-03 18:18:16","3613.6","17.534134","2","440.00","8.00","432.00",""
"20250904","94426799","B","2025-09-03 18:17:51","3611.4","94426803","S","2025-09-03 18:18:11","3613.6","19.371523","2","440.00","8.00","432.00",""
"20250904","94426797","S","2025-09-03 18:17:32","3611.3","94426798","B","2025-09-03 18:17:51","3611.6","18.981802","2","-60.00","8.00","-68.00",""
"20250904","94426793","B","2025-09-03 18:16:36","3611.4","94426794","S","2025-09-03 18:16:45","3611.1","8.538659","2","-60.00","8.00","-68.00",""
"20250904","94426776","B","2025-09-03 18:15:31","3611.3","94426778","S","2025-09-03 18:15:35","3611.2","4.157666","2","-20.00","8.00","-28.00",""
"20250904","94426764","S","2025-09-03 18:14:44","3611.4","94426771","B","2025-09-03 18:15:07","3611.0","23.221573","2","80.00","8.00","72.00",""
"20250904","94426752","B","2025-09-03 18:14:01","3613.1","94426756","S","2025-09-03 18:14:15","3612.6","13.661820","2","-100.00","8.00","-108.00",""
"20250904","94426734","S","2025-09-03 18:12:38","3612.5","94426735","B","2025-09-03 18:12:40","3613.0","2.750380","2","-100.00","8.00","-108.00",""
"20250904","94426732","S","2025-09-03 18:12:23","3612.6","94426733","B","2025-09-03 18:12:30","3612.8","7.574064","2","-40.00","8.00","-48.00",""
"NGV25","-290.00","44.00","-334.00","4","0","4","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250904","94463173","S","2025-09-04 09:48:51","3.035","94463650","B","2025-09-04 09:50:06","3.036","74.450479","3","-30.00","12.00","-42.00",""
"20250904","94463119","S","2025-09-04 09:47:30","3.034","94463650","B","2025-09-04 09:50:06","3.036","155.760289","3","-60.00","12.00","-72.00",""
"20250904","94461746","S","2025-09-04 09:43:10","3.027","94461775","B","2025-09-04 09:46:05","3.031","175.264928","3","-120.00","12.00","-132.00",""
"20250904","94439080","S","2025-09-04 08:00:41","3.080","94439098","B","2025-09-04 08:00:52","3.084","11.055473","2","-80.00","8.00","-88.00",""
"PLV5","855.00","32.00","823.00","8","8","0","100.00","0.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250904","94477518","B","2025-09-04 12:05:32","1377.0","94477853","S","2025-09-04 12:09:56","1379.9","263.932785","1","145.00","4.00","141.00",""
"20250904","94477518","B","2025-09-04 12:05:32","1376.9","94477562","S","2025-09-04 12:09:54","1379.6","261.267153","1","135.00","4.00","131.00",""
"20250904","94477487","B","2025-09-04 12:05:25","1376.6","94477736","S","2025-09-04 12:08:08","1379.9","162.401387","1","165.00","4.00","161.00",""
"20250904","94477487","B","2025-09-04 12:05:25","1376.6","94477596","S","2025-09-04 12:06:50","1378.0","85.211425","1","70.00","4.00","66.00",""
"20250904","94477442","B","2025-09-04 12:04:52","1376.4","94477550","S","2025-09-04 12:06:04","1378.6","72.516985","1","110.00","4.00","106.00",""
"20250904","94477416","B","2025-09-04 12:04:21","1377.2","94477540","S","2025-09-04 12:06:02","1378.7","101.022340","1","75.00","4.00","71.00",""
"20250904","94477398","B","2025-09-04 12:04:04","1376.8","94477532","S","2025-09-04 12:06:00","1378.4","115.466883","1","80.00","4.00","76.00",""
"20250904","94477381","B","2025-09-04 12:03:42","1376.7","94477533","S","2025-09-04 12:05:56","1378.2","133.288093","1","75.00","4.00","71.00",""


