"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-1882.00","260.00","-2142.00","46","15","31","32.61","67.39","0","0.00","0","",""
"CLV5","-330.00","88.00","-418.00","11","7","4","63.64","36.36","0","0.00","0","",""
"20250822","93923814","S","2025-08-22 14:59:00","6478.25","93923824","B","2025-08-22 14:59:06","6479.50","6.910830","5","-312.50","20.00","-332.50",""
"20250822","93898602","S","2025-08-22 09:23:31","6464.50","93898646","B","2025-08-22 09:23:42","6465.25","11.876106","1","-37.50","4.00","-41.50",""
"20250822","93894014","B","2025-08-22 09:03:14","6470.50","93894016","S","2025-08-22 09:03:15","6469.25","0.926659","1","-62.50","4.00","-66.50",""
"20250822","93893418","S","2025-08-22 09:01:39","6466.50","93893460","B","2025-08-22 09:01:44","6465.00","4.505222","1","75.00","4.00","71.00",""
"20250822","93892562","B","2025-08-22 09:00:03","6426.75","93892694","S","2025-08-22 09:00:13","6442.50","9.146670","1","787.50","4.00","783.50",""
"20250822","93891606","S","2025-08-22 08:57:26","6416.25","93891707","B","2025-08-22 09:00:00","6418.00","153.884841","1","-87.50","4.00","-91.50",""
"20250822","93889479","B","2025-08-22 08:46:32","6420.50","93889810","S","2025-08-22 08:47:17","6422.75","45.349210","1","112.50","4.00","108.50",""
"20250822","93888425","S","2025-08-22 08:44:56","6424.25","93888433","B","2025-08-22 08:45:01","6425.50","5.174290","1","-62.50","4.00","-66.50",""
"20250822","93888288","S","2025-08-22 08:44:56","6424.25","93888368","B","2025-08-22 08:45:01","6425.50","5.174317","1","-62.50","4.00","-66.50",""
"20250822","93888293","S","2025-08-22 08:44:54","6424.00","93888367","B","2025-08-22 08:45:01","6425.50","7.202154","1","-75.00","4.00","-79.00",""
"20250822","93888297","S","2025-08-22 08:44:52","6423.75","93888364","B","2025-08-22 08:45:01","6425.50","9.297118","1","-87.50","4.00","-91.50",""
"20250822","93888300","S","2025-08-22 08:43:11","6422.25","93888362","B","2025-08-22 08:45:01","6425.50","109.698454","1","-162.50","4.00","-166.50",""
"20250822","93884341","S","2025-08-22 08:30:05","6408.50","93884384","B","2025-08-22 08:30:14","6410.00","9.241469","1","-75.00","4.00","-79.00",""
"GCZ5","-1320.00","48.00","-1368.00","12","0","12","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250822","93901589","S","2025-08-22 09:40:48","3419.3","93901594","B","2025-08-22 09:47:45","3419.9","417.357407","1","-60.00","4.00","-64.00",""
"20250822","93901115","S","2025-08-22 09:37:25","3418.7","93901126","B","2025-08-22 09:47:45","3419.9","620.217999","1","-120.00","4.00","-124.00",""
"20250822","93901105","S","2025-08-22 09:37:21","3418.4","93901123","B","2025-08-22 09:47:45","3419.8","624.245093","1","-140.00","4.00","-144.00",""
"20250822","93900854","B","2025-08-22 09:35:37","3418.8","93901050","S","2025-08-22 09:36:57","3418.0","80.111215","1","-80.00","4.00","-84.00",""
"20250822","93900856","B","2025-08-22 09:35:35","3418.8","93901048","S","2025-08-22 09:36:57","3418.1","81.717058","1","-70.00","4.00","-74.00",""
"20250822","93900762","S","2025-08-22 09:34:45","3417.9","93900768","B","2025-08-22 09:35:00","3418.7","14.350584","1","-80.00","4.00","-84.00",""
"20250822","93900758","S","2025-08-22 09:34:45","3417.8","93900766","B","2025-08-22 09:35:00","3418.7","14.903832","1","-90.00","4.00","-94.00",""
"20250822","93900709","S","2025-08-22 09:34:34","3417.5","93900711","B","2025-08-22 09:34:42","3418.4","7.300989","1","-90.00","4.00","-94.00",""
"20250822","93900681","S","2025-08-22 09:34:13","3416.5","93900692","B","2025-08-22 09:34:42","3418.3","28.351821","1","-180.00","4.00","-184.00",""
"20250822","93897929","B","2025-08-22 09:21:07","3410.6","93897933","S","2025-08-22 09:21:11","3409.6","3.184868","1","-100.00","4.00","-104.00",""
"20250822","93892873","S","2025-08-22 09:00:34","3388.4","93892915","B","2025-08-22 09:00:35","3389.0","1.040751","1","-60.00","4.00","-64.00",""
"20250822","93892794","B","2025-08-22 09:00:27","3389.7","93892815","S","2025-08-22 09:00:29","3387.2","2.147934","1","-250.00","4.00","-254.00",""
"RTYU5","35.00","4.00","31.00","1","1","0","100.00","0.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250822","93900207","S","2025-08-22 09:31:02","2355.7","93900244","B","2025-08-22 09:31:16","2355.0","14.416727","1","35.00","4.00","31.00",""
"ZLZ5","-492.00","32.00","-524.00","5","0","5","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250822","93906273","S","2025-08-22 10:23:00","54.29","93906281","B","2025-08-22 10:23:20","54.49","20.112158","2","-240.00","8.00","-248.00",""
"20250822","93905877","B","2025-08-22 10:18:35","54.44","93905890","S","2025-08-22 10:18:41","54.27","6.529874","1","-102.00","4.00","-106.00",""
"20250822","93905877","B","2025-08-22 10:18:35","54.43","93905890","S","2025-08-22 10:18:41","54.28","6.529877","1","-90.00","4.00","-94.00",""
"20250822","93905835","B","2025-08-22 10:18:14","54.33","93905838","S","2025-08-22 10:18:15","54.30","1.073489","2","-36.00","8.00","-44.00",""
"20250822","93905801","B","2025-08-22 10:17:43","54.29","93905807","S","2025-08-22 10:17:45","54.27","2.542146","2","-24.00","8.00","-32.00",""


