"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-672.50","172.00","-844.50","29","13","16","44.83","55.17","0","0.00","0","",""
"CLV5","0.00","56.00","-56.00","7","5","2","71.43","28.57","0","0.00","0","",""
"20250829","94199559","B","2025-08-29 09:20:21","3497.5","94199595","S","2025-08-29 09:20:28","3497.9","7.200706","1","40.00","4.00","36.00",""
"20250829","94199109","B","2025-08-29 09:19:37","3496.4","94199236","S","2025-08-29 09:19:48","3495.6","10.700429","1","-80.00","4.00","-84.00",""
"20250829","94197314","B","2025-08-29 09:15:13","3498.1","94197390","S","2025-08-29 09:16:18","3499.1","64.485967","1","100.00","4.00","96.00",""
"HEV5","-80.00","8.00","-88.00","2","0","2","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250829","94222787","S","2025-08-29 11:01:21","94.850","94222777","B","2025-08-29 11:03:52","94.975","151.350282","1","-50.00","4.00","-54.00",""
"20250829","94222772","S","2025-08-29 11:00:52","94.900","94222788","B","2025-08-29 11:03:52","94.975","180.270820","1","-30.00","4.00","-34.00",""
"LEV5","130.00","12.00","118.00","3","2","1","66.67","33.33","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250829","94177312","B","2025-08-29 08:31:55","236.950","94177335","S","2025-08-29 08:32:49","236.900","53.314689","1","-20.00","4.00","-24.00",""
"20250829","94177321","B","2025-08-29 08:31:36","236.975","94177625","S","2025-08-29 08:32:34","237.150","57.706031","1","70.00","4.00","66.00",""
"20250829","94177002","B","2025-08-29 08:30:49","236.975","94177093","S","2025-08-29 08:31:19","237.175","29.896228","1","80.00","4.00","76.00",""
"NQU5","150.00","12.00","138.00","3","2","1","66.67","33.33","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250829","94245068","B","2025-08-29 15:02:09","23468.50","94245075","S","2025-08-29 15:03:16","23475.00","67.363944","1","130.00","4.00","126.00",""
"20250829","94194079","B","2025-08-29 09:09:09","23444.00","94194107","S","2025-08-29 09:09:43","23453.00","34.089867","1","180.00","4.00","176.00",""
"20250829","94193841","B","2025-08-29 09:08:46","23452.00","94193860","S","2025-08-29 09:09:03","23444.00","16.348657","1","-160.00","4.00","-164.00",""
"PLV5","-30.00","4.00","-34.00","1","0","1","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250829","94228508","S","2025-08-29 12:03:00","1371.3","94228510","B","2025-08-29 12:03:02","1371.9","2.359170","1","-30.00","4.00","-34.00",""
"SIZ5","-200.00","8.00","-208.00","2","0","2","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250829","94231528","S","2025-08-29 12:23:59","40.730","94231527","B","2025-08-29 12:24:00","40.750","0.668184","1","-100.00","4.00","-104.00",""
"20250829","94231528","S","2025-08-29 12:23:59","40.730","94231527","B","2025-08-29 12:24:00","40.750","0.668245","1","-100.00","4.00","-104.00",""
"UBZ5","0.00","12.00","-12.00","1","0","1","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250829","94244509","S","2025-08-29 14:59:58","116'15","94244639","B","2025-08-29 15:00:27","116'15","29.541711","3","0.00","12.00","-12.00",""


